Date,eth_usdc_uniV3,eth_usdc_shift_1,log_return_sqrd
2025-05-21 10:00:00,2524.6226777808197,2524.622826776018,3.4829846571825636e-15
2025-05-21 10:01:00,2523.7374680034786,2524.6226777808197,1.229848867250271e-07
2025-05-21 10:02:00,2524.473273234365,2523.7374680034786,8.497883760521854e-08
2025-05-21 10:03:00,2525.6047220000078,2524.473273234365,2.007860891136272e-07
2025-05-21 10:04:00,2527.157801424207,2525.6047220000078,3.7791103756073277e-07
2025-05-21 10:05:00,2525.709929164349,2527.157801424207,3.2843138394089137e-07
2025-05-21 10:06:00,2524.8529830750886,2525.709929164349,1.1515622816170758e-07
2025-05-21 10:07:00,2524.6293970674838,2524.8529830750886,7.842517781400658e-09
2025-05-21 10:08:00,2525.564342906753,2524.6293970674838,1.3709348900204995e-07
2025-05-21 10:09:00,2526.0603906107212,2525.564342906753,3.856956313359069e-08
2025-05-21 10:10:00,2527.7128701513366,2526.0603906107212,4.27662034957888e-07
2025-05-21 10:11:00,2527.851041727572,2527.7128701513366,2.9878459732359436e-09
2025-05-21 10:12:00,2529.690611,2527.851041727572,5.291921417731372e-07
2025-05-21 10:13:00,2531.6035280770802,2529.690611,5.713854362513524e-07
2025-05-21 10:14:00,2530.5222720924435,2531.6035280770802,1.824950905369955e-07
2025-05-21 10:15:00,2530.0777015915005,2530.5222720924435,3.087004481786809e-08
2025-05-21 10:16:00,2530.1390463877337,2530.0777015915005,5.878644643252387e-10
2025-05-21 10:17:00,2526.303945352929,2530.1390463877337,2.3010367089090326e-06
2025-05-21 10:18:00,2525.9243207040877,2526.303945352929,2.2584104295594096e-08
2025-05-21 10:19:00,2525.9120556699613,2525.9243207040877,2.35775655874234e-11
2025-05-21 10:20:00,2518.3015926760886,2525.9120556699613,9.105333592006818e-06
2025-05-21 10:21:00,2518.705065446091,2518.3015926760886,2.5665126145004552e-08
2025-05-21 10:22:00,2518.7731757440515,2518.705065446091,7.312387291772033e-10
2025-05-21 10:23:00,2519.262368933366,2518.7731757440515,3.7713630666057864e-08
2025-05-21 10:24:00,2519.299854617048,2519.262368933366,2.2139999724006782e-10
2025-05-21 10:25:00,2519.291143124758,2519.299854617048,1.1957128367982882e-11
2025-05-21 10:26:00,2518.83018976942,2519.291143124758,3.348395196214928e-08
2025-05-21 10:27:00,2519.112962276875,2518.83018976942,1.2601662173035154e-08
2025-05-21 10:28:00,2519.2769593533185,2519.112962276875,4.237879994676494e-09
2025-05-21 10:29:00,2519.579453320915,2519.2769593533185,1.44154917927384e-08
2025-05-21 10:30:00,2520.371810684206,2519.579453320915,9.886658221825044e-08
2025-05-21 10:31:00,2520.560379898227,2520.371810684206,5.59731647204036e-09
2025-05-21 10:32:00,2522.870518408169,2520.560379898227,8.392356850804297e-07
2025-05-21 10:33:00,2523.673116551372,2522.870518408169,1.0117384018376192e-07
2025-05-21 10:34:00,2524.767119703055,2523.673116551372,1.8783767860837044e-07
2025-05-21 10:35:00,2524.802483360646,2524.767119703055,1.9618491889911273e-10
2025-05-21 10:36:00,2524.8875573108385,2524.802483360646,1.135334267901454e-09
2025-05-21 10:37:00,2527.157349024503,2524.8875573108385,8.074165697019122e-07
2025-05-21 10:38:00,2527.332088994478,2527.157349024503,4.7806826830862076e-09
2025-05-21 10:39:00,2528.37919892404,2527.332088994478,1.7158528066515324e-07
2025-05-21 10:40:00,2527.9657844660305,2528.37919892404,2.6739785573822686e-08
2025-05-21 10:41:00,2527.963870078019,2527.9657844660305,5.734794730469606e-13
2025-05-21 10:42:00,2527.9041131777653,2527.963870078019,5.587849024142739e-10
2025-05-21 10:43:00,2527.9041131777653,2527.9041131777653,0.0
2025-05-21 10:44:00,2528.642245103891,2527.9041131777653,8.523539758940059e-08
2025-05-21 10:45:00,2528.58715307764,2528.642245103891,4.746922869464483e-10
2025-05-21 10:46:00,2528.577391265824,2528.58715307764,1.4904131885040034e-11
2025-05-21 10:47:00,2528.577391265824,2528.577391265824,0.0
2025-05-21 10:48:00,2528.454478021222,2528.577391265824,2.363012269417467e-09
2025-05-21 10:49:00,2528.5610478254957,2528.454478021222,1.7763958658704567e-09
2025-05-21 10:50:00,2528.5435294950444,2528.5610478254957,4.8000034617960614e-11
2025-05-21 10:51:00,2528.7645554788533,2528.5435294950444,7.640254657653411e-09
2025-05-21 10:52:00,2529.200099270627,2528.7645554788533,2.9660062959522723e-08
2025-05-21 10:53:00,2529.7951828701284,2529.200099270627,5.5346149146800196e-08
2025-05-21 10:54:00,2529.7951828701284,2529.7951828701284,0.0
2025-05-21 10:55:00,2529.7951828701284,2529.7951828701284,0.0
2025-05-21 10:56:00,2529.793402975001,2529.7951828701284,4.950150594534243e-13
2025-05-21 10:57:00,2529.64812556328,2529.793402975001,3.298002775723421e-09
2025-05-21 10:58:00,2529.6700340072543,2529.64812556328,7.500653020056357e-11
2025-05-21 10:59:00,2529.6110352887026,2529.6700340072543,5.439607130298337e-10
2025-05-21 11:00:00,2530.0303160771773,2529.6110352887026,2.7468215976487584e-08
2025-05-21 11:01:00,2530.7213669321673,2530.0303160771773,7.458473612512438e-08
2025-05-21 11:02:00,2531.0128404872303,2530.7213669321673,1.3263545613307618e-08
2025-05-21 11:03:00,2531.543808362453,2531.0128404872303,4.400040711476759e-08
2025-05-21 11:04:00,2535.0619183853955,2531.543808362453,1.928611472688762e-06
2025-05-21 11:05:00,2536.391148386148,2535.0619183853955,2.747865423130655e-07
2025-05-21 11:06:00,2536.391148386148,2536.391148386148,0.0
2025-05-21 11:07:00,2536.389589232947,2536.391148386148,3.7787259013169235e-13
2025-05-21 11:08:00,2536.389589232947,2536.389589232947,0.0
2025-05-21 11:09:00,2537.954045980678,2536.389589232947,3.802133762696839e-07
2025-05-21 11:10:00,2538.6606286611577,2537.954045980678,7.748855658858895e-08
2025-05-21 11:11:00,2542.1072634622246,2538.6606286611577,1.8407378890781933e-06
2025-05-21 11:12:00,2542.10454562871,2542.1072634622246,1.1430320837531655e-12
2025-05-21 11:13:00,2541.0041961406027,2542.10454562871,1.8744009481220498e-07
2025-05-21 11:14:00,2541.217859698139,2541.0041961406027,7.069905828487654e-09
2025-05-21 11:15:00,2541.6734309151866,2541.217859698139,3.213297276997456e-08
2025-05-21 11:16:00,2543.494390491835,2541.6734309151866,5.12920501512624e-07
2025-05-21 11:17:00,2543.7404003909833,2543.494390491835,9.35409106923626e-09
2025-05-21 11:18:00,2544.8968539853686,2543.7404003909833,2.065919717491671e-07
2025-05-21 11:19:00,2547.534430112792,2544.8968539853686,1.0730494118049042e-06
2025-05-21 11:20:00,2549.4199441746264,2547.534430112792,5.473915516019167e-07
2025-05-21 11:21:00,2549.1165243646665,2549.4199441746264,1.4166311796591296e-08
